algorithm,size,comparisons,swaps
Bubble Sort,100,4932,2514.5
Insertion Sort,100,2609,2514.5
Selection Sort,100,4950,94
Merge Sort,100,545.5,672
Quick Sort,100,537.5,367
Heap Sort,100,1031.5,580.5
Shell Sort,100,697,398
Bubble Sort,500,124670.5,62959
Insertion Sort,500,63454,62959
Selection Sort,500,124750,491.5
Merge Sort,500,3849.5,4488
Quick Sort,500,4095.5,2528.5
Heap Sort,500,7436,4042.5
Shell Sort,500,5992.5,3738.5
Bubble Sort,1000,497945.5,246867.5
Insertion Sort,1000,247861.5,246867.5
Selection Sort,1000,499500,994.5
Merge Sort,1000,8705.5,9976
Quick Sort,1000,9427.5,5698
Heap Sort,1000,16867.5,9094.5
Shell Sort,1000,14010.5,8990.5
Bubble Sort,2000,1996983.5,1002817
Insertion Sort,2000,1004808,1002817
Selection Sort,2000,1999000,1992.5
Merge Sort,2000,19423.5,21952
Quick Sort,2000,20593,12930.5
Heap Sort,2000,37717.5,20172
Shell Sort,2000,33072.5,21637.5
Bubble Sort,5000,12490293.5,6175761.5
Insertion Sort,5000,6180752,6175761.5
Selection Sort,5000,12497500,4992
Merge Sort,5000,55210.5,61808
Quick Sort,5000,60235.5,36084.5
Heap Sort,5000,107755,57152.5
Shell Sort,5000,105776.5,72828.5
