algorithm,scenario,size,time_s
Bubble Sort,random,100,0.00083665
Insertion Sort,random,100,0.00031125
Selection Sort,random,100,0.00055965
Merge Sort,random,100,0.0004916
Quick Sort,random,100,0.0003116
Heap Sort,random,100,0.0003047
Shell Sort,random,100,0.00014025
Tim Sort,random,100,1.115e-05
Bubble Sort,random,500,0.0206272
Insertion Sort,random,500,0.00657385
Selection Sort,random,500,0.0073331
Merge Sort,random,500,0.0018756
Quick Sort,random,500,0.00091965
Heap Sort,random,500,0.00204545
Shell Sort,random,500,0.00131495
Tim Sort,random,500,7.17e-05
Bubble Sort,random,1000,0.1706853
Insertion Sort,random,1000,0.0323474
Selection Sort,random,1000,0.02771835
Merge Sort,random,1000,0.002843
Quick Sort,random,1000,0.00224755
Heap Sort,random,1000,0.005427
Shell Sort,random,1000,0.0023387
Tim Sort,random,1000,0.0001063
Bubble Sort,random,2000,0.35121985
Insertion Sort,random,2000,0.11099235
Selection Sort,random,2000,0.1136764
Merge Sort,random,2000,0.01087465
Quick Sort,random,2000,0.0066039
Heap Sort,random,2000,0.01605795
Shell Sort,random,2000,0.00703845
Tim Sort,random,2000,0.00045835
Bubble Sort,random,5000,2.151937
Insertion Sort,random,5000,0.70912245
Selection Sort,random,5000,0.6704426
Merge Sort,random,5000,0.0184903
Quick Sort,random,5000,0.00982775
Heap Sort,random,5000,0.02681435
Shell Sort,random,5000,0.0178512
Tim Sort,random,5000,0.0006066
Bubble Sort,random,10000,
Insertion Sort,random,10000,
Selection Sort,random,10000,
Merge Sort,random,10000,0.0415258
Quick Sort,random,10000,0.02560125
Heap Sort,random,10000,0.0543539
Shell Sort,random,10000,0.0415995
Tim Sort,random,10000,0.0015678
Bubble Sort,random,20000,
Insertion Sort,random,20000,
Selection Sort,random,20000,
Merge Sort,random,20000,0.07632005
Quick Sort,random,20000,0.0486046
Heap Sort,random,20000,0.1224428
Shell Sort,random,20000,0.10294695
Tim Sort,random,20000,0.00343995
