algorithm,scenario,size,time_s
Bubble Sort,reversed,100,0.0012648
Insertion Sort,reversed,100,0.0005977
Selection Sort,reversed,100,0.00025525
Merge Sort,reversed,100,0.0002459
Quick Sort,reversed,100,0.0001747
Heap Sort,reversed,100,0.0002821
Shell Sort,reversed,100,9.855e-05
Tim Sort,reversed,100,3.6e-06
Bubble Sort,reversed,500,0.0322106
Insertion Sort,reversed,500,0.0141975
Selection Sort,reversed,500,0.00975265
Merge Sort,reversed,500,0.0014551
Quick Sort,reversed,500,0.0009943
Heap Sort,reversed,500,0.00204585
Shell Sort,reversed,500,0.0008024
Tim Sort,reversed,500,1.17e-05
Bubble Sort,reversed,1000,0.13203215
Insertion Sort,reversed,1000,0.04723105
Selection Sort,reversed,1000,0.0294906
Merge Sort,reversed,1000,0.0031564
Quick Sort,reversed,1000,0.0020767
Heap Sort,reversed,1000,0.00333895
Shell Sort,reversed,1000,0.0013992
Tim Sort,reversed,1000,9.7e-06
Bubble Sort,reversed,2000,0.46753135
Insertion Sort,reversed,2000,0.224368
Selection Sort,reversed,2000,0.1189124
Merge Sort,reversed,2000,0.0050369
Quick Sort,reversed,2000,0.00535355
Heap Sort,reversed,2000,0.0117599
Shell Sort,reversed,2000,0.0043774
Tim Sort,reversed,2000,2.5e-05
Bubble Sort,reversed,5000,3.13782425
Insertion Sort,reversed,5000,1.3877082
Selection Sort,reversed,5000,0.67566965
Merge Sort,reversed,5000,0.01545415
Quick Sort,reversed,5000,0.0167432
Heap Sort,reversed,5000,0.0262989
Shell Sort,reversed,5000,0.00921595
Tim Sort,reversed,5000,3.935e-05
Bubble Sort,reversed,10000,
Insertion Sort,reversed,10000,
Selection Sort,reversed,10000,
Merge Sort,reversed,10000,0.03082895
Quick Sort,reversed,10000,0.0401315
Heap Sort,reversed,10000,0.057582
Shell Sort,reversed,10000,0.0201458
Tim Sort,reversed,10000,9.145e-05
Bubble Sort,reversed,20000,
Insertion Sort,reversed,20000,
Selection Sort,reversed,20000,
Merge Sort,reversed,20000,0.05574515
Quick Sort,reversed,20000,0.0722554
Heap Sort,reversed,20000,0.11277625
Shell Sort,reversed,20000,0.04248345
Tim Sort,reversed,20000,0.0002545
